University,University Short Name,Area,ACCS Coures Prefix,ACCS Course Number,ACCS Course Title,University Equivalent Course Prefix,University Equivalent Course Number,University Course Title,Univeristy Course Hours,Lab,Approved,Notes
Alabama A&M University,AA&MU,1,ENG,101,Written Composition I ,ENG,101,Composition I,3,No,yes,
Alabama A&M University,AA&MU,1,ENG,102,Written Composition II ,ENG,102,Composition II,3,No,yes,
Alabama A&M University,AA&MU,2,ART,100,Art Appreciation,ART,101,Art Appreciation,3,No,yes,
Alabama A&M University,AA&MU,2,ART,203,Art History I ,ART,220,History of Art I,3,No,no,
Alabama A&M University,AA&MU,2,ART,204,Art History II,ART,221,History of Art II,3,No,no,
Alabama A&M University,AA&MU,2,DNC,101,Dance Appreciation,Area II Core,,,,,,
Alabama A&M University,AA&MU,2,ENG,251,American Literature I,ENG,207,American Literature I,3,No,no,
Alabama A&M University,AA&MU,2,ENG,252,American Literature II,ENG,208,Amercan Literature II,3,No,no,
Alabama A&M University,AA&MU,2,ENG,261,English Literature I,ENG,201,Survey of English Literature I ,3,No,yes,
Alabama A&M University,AA&MU,2,ENG,262,English Literature II,ENG,202,Survey of English Literature II,3,No,yes,
Alabama A&M University,AA&MU,2,ENG,271,World Literature I,ENG,203,World Literature I,3,No,yes,
Alabama A&M University,AA&MU,2,ENG,272,World Literature II,ENG,204,World Literature II,3,No,yes,
Alabama A&M University,AA&MU,2,FRN,101,Introductory French I,FRE,101,Elementary French I,3,No,yes,
Alabama A&M University,AA&MU,2,FRN,102,Introductory French II,FRE,102,Elementary French II,3,No,yes,
Alabama A&M University,AA&MU,2,FRN,201,Intermediate French I,FRE,201,Intermediate French I,3,No,yes,
Alabama A&M University,AA&MU,2,FRN,202,Intermediate French II,FRE,202,Intermediate French II,3,No,yes,
Alabama A&M University,AA&MU,2,GRN,101,Introductory to German I,Area II Core,,,,,,
Alabama A&M University,AA&MU,2,GRN,102,Introductory to German II,Area II Core,,,,,,
Alabama A&M University,AA&MU,2,GRN,201,Intermediate German I,Area II Core,,,,,,
Alabama A&M University,AA&MU,2,GRN,202,Intermediate German II,Area II Core,,,,,,
Alabama A&M University,AA&MU,2,HUM,101,Introduction to Humanities,Area II Core,,,,,,
Alabama A&M University,AA&MU,2,HUM,102,Introduction to Humanities,Area II Core,,,,,,
Alabama A&M University,AA&MU,2,HUM,299,PTK Honors Course - Humanities,Area II Core,,,,,,
Alabama A&M University,AA&MU,2,HUM,299-01,PTK Honors Course I - Humanities,Area II Core,,,,,,
Alabama A&M University,AA&MU,2,HUM,299-02,PTK Honors Course II - Humanities,Area II Core,,,,,,
Alabama A&M University,AA&MU,2,HUM,299-03,PTK Honors Course III - Humanities,Area II Core,,,,,,
Alabama A&M University,AA&MU,2,IDS,102,Ethics ,PHL,206,Ethics,3,No,no,
Alabama A&M University,AA&MU,2,JPN,101,Introductory Japanese I,Area II Core,,,,,,
Alabama A&M University,AA&MU,2,JPN,102,Introductory Japanese II,Area II Core,,,,,,
Alabama A&M University,AA&MU,2,MUS,101,Music Appreciation,MUS,101,Music Appreciation,3,No,yes,
Alabama A&M University,AA&MU,2,PHL,106,Introduction to Philosophy,PHL,201,Introduction to Philosophy,3,No,yes,
Alabama A&M University,AA&MU,2,PHL,206,Ethics and Society,PHL,206,Ethics,3,No,no,
Alabama A&M University,AA&MU,2,REL,100,World Religions,Area II Core,,,,,,
Alabama A&M University,AA&MU,2,REL,151,Survey of the Old Testament,Area II Core,,,,,,
Alabama A&M University,AA&MU,2,REL,152,Survey of the New Testament,Area II Core,,,,,,
Alabama A&M University,AA&MU,2,SPA,101,Introductory Spanish I,SPA,101,Elementary Spanish I,3,No,yes,
Alabama A&M University,AA&MU,2,SPA,102,Introductory Spanish II,SPA,102,Elementary Spanish II,3,No,yes,
Alabama A&M University,AA&MU,2,SPA,201,Intermediate Spanish I,SPA,201,Intermediate Spanish I,3,No,yes,
Alabama A&M University,AA&MU,2,SPA,202,Intermediate Spanish II,SPA,202,Intermediate Spanish II,3,No,yes,
Alabama A&M University,AA&MU,2,SPH,106,Fundamentals of Oral Communication,ENG,205,General Speech,3,No,no,
Alabama A&M University,AA&MU,2,SPH,107,Fundamentals of Public Speaking,ENG,205,General Speech,3,No,no,
Alabama A&M University,AA&MU,2,THR,120,Theatre Appreciation,COMM,101,Theater Appreciation,3,No,no,
Alabama A&M University,AA&MU,2,THR,126,Introduction to Theatre,COMM,101,Theater Appreciation,3,No,no,
Alabama A&M University,AA&MU,3,AST,220,Introduction to Astronomy,PHY,220/L,Intro Astronomy and Lab,4,Yes,no,
Alabama A&M University,AA&MU,3,BIO,101,Introduction to Biology I,BIO,101/L,General Biology I and Lab,4,Yes,yes,
Alabama A&M University,AA&MU,3,BIO,102,Introduction to Biology II,BIO,102/L,General Biology II and Lab,4,Yes,yes,
Alabama A&M University,AA&MU,3,BIO,103,Principles of Biology I,BIO,103/L,Princ of  Biology I and Lab,4,Yes,yes,
Alabama A&M University,AA&MU,3,BIO,104,Principles of Biology II,BIO,104/L,Principles of Biology II and Lab,4,Yes,no,
Alabama A&M University,AA&MU,3,CHM,104,Introduction to Chemistry I,Area III Core,,,,,,
Alabama A&M University,AA&MU,3,CHM,105,Introduction to Chemistry II,Area III Core,,,,,,
Alabama A&M University,AA&MU,3,CHM,111,College Chemistry I,CHE,101/L,General Chemistry I and Lab,4,Yes,yes,
Alabama A&M University,AA&MU,3,CHM,112,College Chemistry II,CHE,102/L,General Chemistry II and Lab,4,Yes,yes,
Alabama A&M University,AA&MU,3,GEO,101,Principles of Physical Geography I,Area III Core,,,,,,
Alabama A&M University,AA&MU,3,GEO,102,Principles of Physical Geography II,Area III Core,,,,,,
Alabama A&M University,AA&MU,3,GLY,101,Introduction to Geology I,Area III Core,,,,,,
Alabama A&M University,AA&MU,3,GLY,102,Introduction to Geology II,Area III Core,,,,,,
Alabama A&M University,AA&MU,3,MTH,110,Finite Mathematics,MTH,110,Finite Mathematics,3,No,yes,
Alabama A&M University,AA&MU,3,MTH,112,Precalculus Algebra,MTH,112,Pre-calculus,3,No,yes,
Alabama A&M University,AA&MU,3,MTH,113,Precalculus Trigonometry,MTH,113,Pre-Calculus Trigonometry,3,No,yes,
Alabama A&M University,AA&MU,3,MTH,115,Precalculus Algebra & Trigonometry,MTH,115,Pre-Calculus Algebra and Trigonometry,4,No,yes,
Alabama A&M University,AA&MU,3,MTH,120,Calculus and Its Applications,MTH,120,Calculus and its Applications,3,No,yes,
Alabama A&M University,AA&MU,3,MTH,125,Calculus I,MTH,125,Calculus I,4,No,yes,
Alabama A&M University,AA&MU,3,MTH,126,Calculus II,MTH,126,Calculus II,4,No,yes,
Alabama A&M University,AA&MU,3,MTH,227,Calculus III,MTH,227,Calculus III,4,No,yes,
