University,University Short Name,Area,ACCS Coures Prefix,ACCS Course Number,ACCS Course Title,University Equivalent Course Prefix,University Equivalent Course Number,University Course Title,Univeristy Course Hours,Lab,Approved,Notes
Alabama State University,ASU,1,ENG,101,Written Composition I ,ENG,131,English Composition I,3,No,yes,
Alabama State University,ASU,1,ENG,102,Written Composition II ,ENG,132,English Composition II,3,No,yes,
Alabama State University,ASU,2,ART,100,Art Appreciation,ART,131,Art Apprectation,3,No,yes,
Alabama State University,ASU,2,ART,203,Art History I ,ART,201,Art History Survey I,3,No,no,
Alabama State University,ASU,2,ART,204,Art History II,ART,202,Art History Survey II,3,No,no,
Alabama State University,ASU,2,DNC,101,Dance Appreciation,Area II Core,,,,,,
Alabama State University,ASU,2,ENG,251,American Literature I,ENG,301,American Literature I,3,No,no,
Alabama State University,ASU,2,ENG,252,American Literature II,ENG,302,American Literature II,3,No,no,
Alabama State University,ASU,2,ENG,261,English Literature I,ENG,221,English Literature I,3,No,yes,
Alabama State University,ASU,2,ENG,262,English Literature II,ENG,222,English Literature II,3,No,yes,
Alabama State University,ASU,2,ENG,271,World Literature I,ENG,230,World Literature,3,No,no,
Alabama State University,ASU,2,ENG,272,World Literature II,Area II Core,,,,,,
Alabama State University,ASU,2,FRN,101,Introductory French I,FLF,141,French I,3,No,yes,
Alabama State University,ASU,2,FRN,102,Introductory French II,FLF,142,French II,3,No,yes,
Alabama State University,ASU,2,FRN,201,Intermediate French I,FLF,241,French III,3,No,no,
Alabama State University,ASU,2,FRN,202,Intermediate French II,FLF,242,French IV,3,No,no,
Alabama State University,ASU,2,GRN,101,Introductory to German I,Area II Core,,,,,,
Alabama State University,ASU,2,GRN,102,Introductory to German II,Area II Core,,,,,,
Alabama State University,ASU,2,GRN,201,Intermediate German I,Area II Core,,,,,,
Alabama State University,ASU,2,GRN,202,Intermediate German II,Area II Core,,,,,,
Alabama State University,ASU,2,HUM,101,Introduction to Humanities,HUM,101,Interdisciplinary Humanities,3,No,yes,
Alabama State University,ASU,2,HUM,102,Introduction to Humanities,HUM,102,Interdisciplinary Humanities,3,No,yes,
Alabama State University,ASU,2,HUM,299,PTK Honors Course - Humanities,Area II Core,,,,,,
Alabama State University,ASU,2,HUM,299-01,PTK Honors Course I - Humanities,Area II Core,,,,,,
Alabama State University,ASU,2,HUM,299-02,PTK Honors Course II - Humanities,Area II Core,,,,,,
Alabama State University,ASU,2,HUM,299-03,PTK Honors Course III - Humanities,Area II Core,,,,,,
Alabama State University,ASU,2,IDS,102,Ethics ,PHL,364,Introduction to Ethics,3,No,no,
Alabama State University,ASU,2,JPN,101,Introductory Japanese I,Area II Core,,,,,,
Alabama State University,ASU,2,JPN,102,Introductory Japanese II,Area II Core,,,,,,
