University,University Short Name,Area,ACCS Coures Prefix,ACCS Course Number,ACCS Course Title,University Equivalent Course Prefix,University Equivalent Course Number,University Course Title,Univeristy Course Hours,Lab,Approved,Notes
Athens State University,Athens,1,ENG,101,Written Composition I ,ENG,101,Written Composition I ,3,No,no,
Athens State University,Athens,1,ENG,102,Written Composition II ,ENG,102,Written Composition II ,3,No,no,
Athens State University,Athens,2,ART,100,Art Appreciation,ART,100,Art Appreciation,3,No,no,
Athens State University,Athens,2,ART,203,Art History I ,ART,203,Art History I ,3,No,no,
Athens State University,Athens,2,ART,204,Art History II,ART,204,Art History II,3,No,no,
Athens State University,Athens,2,DNC,101,Dance Appreciation,DNC,101,Dance Appreciation,3,No,no,
Athens State University,Athens,2,ENG,251,American Literature I,ENG,251,American Literature I,3,No,no,
Athens State University,Athens,2,ENG,252,American Literature II,ENG,252,American Literature II,3,No,no,
Athens State University,Athens,2,ENG,261,English Literature I,ENG,261,English Literature I,3,No,no,
Athens State University,Athens,2,ENG,262,English Literature II,ENG,262,English Literature II,3,No,no,
Athens State University,Athens,2,ENG,271,World Literature I,ENG,271,World Literature I,3,No,no,
Athens State University,Athens,2,ENG,272,World Literature II,ENG,272,World Literature II,3,No,no,
Athens State University,Athens,2,FRN,101,Introductory French I,FRN,101,Introductory French I,4,No,no,
Athens State University,Athens,2,FRN,102,Introductory French II,FRN,102,Introductory French II,4,No,no,
Athens State University,Athens,2,FRN,201,Intermediate French I,FRN,201,Intermediate French I,3,No,no,
Athens State University,Athens,2,FRN,202,Intermediate French II,FRN,202,Intermediate French II,3,No,no,
Athens State University,Athens,2,GRN,101,Introductory to German I,GRN,101,Introductory to German I,4,No,no,
Athens State University,Athens,2,GRN,102,Introductory to German II,GRN,102,Introductory to German II,4,No,no,
Athens State University,Athens,2,GRN,201,Intermediate German I,GRN,201,Intermediate German I,3,No,no,
Athens State University,Athens,2,GRN,202,Intermediate German II,GRN,202,Intermediate German II,3,No,no,
