University,University Short Name,Area,ACCS Coures Prefix,ACCS Course Number,ACCS Course Title,University Equivalent Course Prefix,University Equivalent Course Number,University Course Title,Univeristy Course Hours,Lab,Approved,Notes
Auburn University,AU,1,ENG,101,Written Composition I ,ENGL,1100,English Composition I,3,No,yes,
Auburn University,AU,1,ENG,102,Written Composition II ,ENGL,1120,English Composition II,3,No,yes,
Auburn University,AU,2,ART,100,Art Appreciation,Area II Core,,,,,,
Auburn University,AU,2,ART,203,Art History I ,Area II Core,,,,,,
Auburn University,AU,2,ART,204,Art History II,Area II Core,,,,,,
Auburn University,AU,2,DNC,101,Dance Appreciation,Area II Core,,,,,,
Auburn University,AU,2,ENG,251,American Literature I,ENGL,2250,Survey of American Literature I,3,No,yes,
Auburn University,AU,2,ENG,252,American Literature II,ENGL,2260,Survey of American Literature II,3,No,yes,
Auburn University,AU,2,ENG,261,English Literature I,ENGL,2230,Survey of British Literature I,3,No,yes,
Auburn University,AU,2,ENG,262,English Literature II,ENGL,2240,Survey of British Literature II,3,No,yes,
Auburn University,AU,2,ENG,271,World Literature I,ENGL,2200,World Literature I,3,No,yes,
Auburn University,AU,2,ENG,272,World Literature II,ENGL,2210,World Literature II,3,No,yes,
Auburn University,AU,2,FRN,101,Introductory French I,FLFR,1010,Elementary French I,4,Yes,no,
Auburn University,AU,2,FRN,102,Introductory French II,FLFR,1020,Elementary French II,4,Yes,no,
Auburn University,AU,2,FRN,201,Intermediate French I,FLFR,2010,Intermediate French I,4,Yes,no,
Auburn University,AU,2,FRN,202,Intermediate French II,FLFR,2020,Intermediate French II,4,Yes,no,
Auburn University,AU,2,GRN,101,Introductory to German I,FLGR,1010,Elementary German I,4,Yes,no,
Auburn University,AU,2,GRN,102,Introductory to German II,FLGR,1020,Elementary German II,4,Yes,no,
Auburn University,AU,2,GRN,201,Intermediate German I,FLGR,2010,Intermediate German I,4,Yes,no,
Auburn University,AU,2,GRN,202,Intermediate German II,FLGR,2020,Intermediate German II,4,Yes,no,
Auburn University,AU,2,HUM,101,Introduction to Humanities,Area II Core,,,,,,
Auburn University,AU,2,HUM,102,Introduction to Humanities,Area II Core,,,,,,
Auburn University,AU,2,HUM,299,PTK Honors Course - Humanities,Area II Core,,,,,,
Auburn University,AU,2,HUM,299-01,PTK Honors Course I - Humanities,Area II Core,,,,,,
Auburn University,AU,2,HUM,299-02,PTK Honors Course II - Humanities,Area II Core,,,,,,
Auburn University,AU,2,HUM,299-03,PTK Honors Course III - Humanities,Area II Core,,,,,,
Auburn University,AU,2,IDS,102,Ethics ,PHIL,1020,Introduction to Ethics,3,No,yes,
Auburn University,AU,2,JPN,101,Introductory Japanese I,FLJP,1010,Elementary Japanese I,4,Yes,no,
Auburn University,AU,2,JPN,102,Introductory Japanese II,FLJP,1020,Elementary Japanese II,4,Yes,no,
Auburn University,AU,2,MUS,101,Music Appreciation,MUSI,2730,Appreciation of Music,3,No,yes,
Auburn University,AU,2,PHL,106,Introduction to Philosophy,Area II Core,,,,,,
Auburn University,AU,2,PHL,206,Ethics and Society,PHIL,1020,Introduction to Logic,3,No,yes,
Auburn University,AU,2,REL,100,World Religions,RELG,1010,Introduction to Religious Studies,3,No,no,
Auburn University,AU,2,REL,151,Survey of the Old Testament,RELG,1020,Introduction to the Hebrew Scriptures,3,No,no,
Auburn University,AU,2,REL,152,Survey of the New Testament,RELG,1030,Introduction to the New Testament,3,No,no,
Auburn University,AU,2,SPA,101,Introductory Spanish I,FLSP,1010,Elementary Spanish I ,4,Yes,no,
