University,University Short Name,Area,ACCS Coures Prefix,ACCS Course Number,ACCS Course Title,University Equivalent Course Prefix,University Equivalent Course Number,University Course Title,Univeristy Course Hours,Lab,Approved,Notes
Auburn University at Montgomery,AUM,1,ENG,101,Written Composition I ,ENGL,1010,English Composition I,3,No,yes,
Auburn University at Montgomery,AUM,1,ENG,102,Written Composition II ,ENGL,1020,English Composition II,3,No,yes,
Auburn University at Montgomery,AUM,2,ART,100,Art Appreciation,VISU,1000,Introduction to Visual Arts,3,No,yes,
Auburn University at Montgomery,AUM,2,ART,203,Art History I ,VISU,2030,Art History I,3,No,yes,
Auburn University at Montgomery,AUM,2,ART,204,Art History II,VISU,2040,Art History II,3,No,yes,
Auburn University at Montgomery,AUM,2,DNC,101,Dance Appreciation,Area II Core,,,,,,
Auburn University at Montgomery,AUM,2,ENG,251,American Literature I,ENGL,2570,Survey of American Literature I,3,No,yes,
Auburn University at Montgomery,AUM,2,ENG,252,American Literature II,ENGL,2580,Survey of American Literature II,3,No,yes,
Auburn University at Montgomery,AUM,2,ENG,261,English Literature I,ENGL,2530,Survey of English Literature I,3,No,yes,
Auburn University at Montgomery,AUM,2,ENG,262,English Literature II,ENGL,2540,Survey of English Literature II,3,No,yes,
Auburn University at Montgomery,AUM,2,ENG,271,World Literature I,ENGL,2600,Survey of World Literature I,3,No,yes,
Auburn University at Montgomery,AUM,2,ENG,272,World Literature II,ENGL,2610,Survey of World Literature II,3,No,yes,
Auburn University at Montgomery,AUM,2,FRN,101,Introductory French I,FREN,1010,Elementary French I,4,Yes,yes,
Auburn University at Montgomery,AUM,2,FRN,102,Introductory French II,FREN,1020,Elementary French II,4,Yes,yes,
Auburn University at Montgomery,AUM,2,FRN,201,Intermediate French I,FREN,2010,Intermediate French I,4,Yes,yes,
Auburn University at Montgomery,AUM,2,FRN,202,Intermediate French II,FREN,2020,Intermediate French II,4,Yes,yes,
Auburn University at Montgomery,AUM,2,GRN,101,Introductory to German I,GERM,1010,Elementary German I,4,Yes,yes,
Auburn University at Montgomery,AUM,2,GRN,102,Introductory to German II,GERM,1020,Elementary German II,4,Yes,yes,
Auburn University at Montgomery,AUM,2,GRN,201,Intermediate German I,GERM,2010,Intermediate German I,4,Yes,yes,
Auburn University at Montgomery,AUM,2,GRN,202,Intermediate German II,GERM,2020,Intermediate German II,4,Yes,yes,
Auburn University at Montgomery,AUM,2,HUM,101,Introduction to Humanities,Area II Core,,,,,,
Auburn University at Montgomery,AUM,2,HUM,102,Introduction to Humanities,Area II Core,,,,,,
Auburn University at Montgomery,AUM,2,HUM,299,PTK Honors Course - Humanities,Area II Core,,,,,,
Auburn University at Montgomery,AUM,2,HUM,299-01,PTK Honors Course I - Humanities,Area II Core,,,,,,
Auburn University at Montgomery,AUM,2,HUM,299-02,PTK Honors Course II - Humanities,Area II Core,,,,,,
Auburn University at Montgomery,AUM,2,HUM,299-03,PTK Honors Course III - Humanities,Area II Core,,,,,,
Auburn University at Montgomery,AUM,2,IDS,102,Ethics ,PHIL,2100,Applied Ethics,3,No,yes,
Auburn University at Montgomery,AUM,2,JPN,101,Introductory Japanese I,JAPN,1010,Elementary Japanese I,4,No,no,
Auburn University at Montgomery,AUM,2,JPN,102,Introductory Japanese II,JAPN,1020,Elementary Japanese II,4,No,no,
