University,University Short Name,Area,ACCS Coures Prefix,ACCS Course Number,ACCS Course Title,University Equivalent Course Prefix,University Equivalent Course Number,University Course Title,Univeristy Course Hours,Lab,Approved,Notes
Jacksonville State University,JSU,1,ENG,101,Written Composition I ,EH,101,English Composition I,3,No,yes,
Jacksonville State University,JSU,1,ENG,102,Written Composition II ,EH,102,English Composition II,3,No,yes,
Jacksonville State University,JSU,2,ART,100,Art Appreciation,ART,202,Art Appreciation,3,No,yes,
Jacksonville State University,JSU,2,ART,203,Art History I ,ART,111,Survey of Art I,3,No,yes,
Jacksonville State University,JSU,2,ART,204,Art History II,ART,112,Survey of Art II,3,No,yes,
Jacksonville State University,JSU,2,DNC,101,Dance Appreciation,Area II Core,,,,,,
Jacksonville State University,JSU,2,ENG,251,American Literature I,EH,201,American Literature I,3,No,yes,
Jacksonville State University,JSU,2,ENG,252,American Literature II,EH,202,American Literature II,3,No,yes,
Jacksonville State University,JSU,2,ENG,261,English Literature I,EH,203,English Literature I,3,No,yes,
Jacksonville State University,JSU,2,ENG,262,English Literature II,EH,204,English Literature II,3,No,yes,
Jacksonville State University,JSU,2,ENG,271,World Literature I,EH,231,World Literature I,3,No,yes,
Jacksonville State University,JSU,2,ENG,272,World Literature II,EH,232,World Literature II,3,No,yes,
Jacksonville State University,JSU,2,FRN,101,Introductory French I,FH,101,Beginner's French I,3,Yes,yes,
Jacksonville State University,JSU,2,FRN,102,Introductory French II,FH,102,Beginner's French II,3,Yes,yes,
Jacksonville State University,JSU,2,FRN,201,Intermediate French I,FH,201,Intermediate French I,3,Yes,yes,
Jacksonville State University,JSU,2,FRN,202,Intermediate French II,FH,202,Intermediate French II,3,Yes,yes,
Jacksonville State University,JSU,2,GRN,101,Introductory to German I,GN,101,Beginner's German I,3,Yes,no,
Jacksonville State University,JSU,2,GRN,102,Introductory to German II,GN,102,Beginner's German II,3,Yes,no,
Jacksonville State University,JSU,2,GRN,201,Intermediate German I,GN,201,Intermediate German I,3,Yes,no,
Jacksonville State University,JSU,2,GRN,202,Intermediate German II,GN,202,Intermediate German II,3,Yes,no,
Jacksonville State University,JSU,2,HUM,101,Introduction to Humanities,Area II Core,,,,,,
Jacksonville State University,JSU,2,HUM,102,Introduction to Humanities,Area II Core,,,,,,
Jacksonville State University,JSU,2,HUM,299,PTK Honors Course - Humanities,Area II Core,,,,,,
Jacksonville State University,JSU,2,HUM,299-01,PTK Honors Course I - Humanities,Area II Core,,,,,,
Jacksonville State University,JSU,2,HUM,299-02,PTK Honors Course II - Humanities,Area II Core,,,,,,
Jacksonville State University,JSU,2,HUM,299-03,PTK Honors Course III - Humanities,Area II Core,,,,,,
Jacksonville State University,JSU,2,IDS,102,Ethics ,Area II Core,,,,,,
Jacksonville State University,JSU,2,JPN,101,Introductory Japanese I,Area II Core,,,,,,
Jacksonville State University,JSU,2,JPN,102,Introductory Japanese II,Area II Core,,,,,,
Jacksonville State University,JSU,2,MUS,101,Music Appreciation,MU,233,Introduction to Music,3,No,yes,
Jacksonville State University,JSU,2,PHL,106,Introduction to Philosophy,Area II Core,,,,,,
Jacksonville State University,JSU,2,PHL,206,Ethics and Society,Area II Core,,,,,,
Jacksonville State University,JSU,2,REL,100,World Religions,Area II Core,,,,,,
Jacksonville State University,JSU,2,REL,151,Survey of the Old Testament,Area II Core,,,,,,
Jacksonville State University,JSU,2,REL,152,Survey of the New Testament,Area II Core,,,,,,
Jacksonville State University,JSU,2,SPA,101,Introductory Spanish I,SH,101,Beginner's Spanish I,3,Yes,yes,
Jacksonville State University,JSU,2,SPA,102,Introductory Spanish II,SH,102,Beginner's Spanish II,3,Yes,yes,
Jacksonville State University,JSU,2,SPA,201,Intermediate Spanish I,SH,201,Intermediate Spanish I,3,Yes,yes,
Jacksonville State University,JSU,2,SPA,202,Intermediate Spanish II,SH,202,Intermediate Spanish II,3,Yes,yes,
Jacksonville State University,JSU,2,SPH,106,Fundamentals of Oral Communication,EH,141,Oral Communication,3,No,yes,
Jacksonville State University,JSU,2,SPH,107,Fundamentals of Public Speaking,EH,141,Oral Communication,3,No,yes,
Jacksonville State University,JSU,2,THR,120,Theatre Appreciation,THR,242,Introduction to Theatre,3,No,yes,
Jacksonville State University,JSU,2,THR,126,Introduction to Theatre,THR,242,Introduction to Theatre,3,No,yes,
Jacksonville State University,JSU,3,AST,220,Introduction to Astronomy,Area III Core,,,,,,
