University,University Short Name,Area,ACCS Coures Prefix,ACCS Course Number,ACCS Course Title,University Equivalent Course Prefix,University Equivalent Course Number,University Course Title,Univeristy Course Hours,Lab,Approved,Notes
Troy University,Troy,1,ENG,101,Written Composition I ,ENG,1101,Composition & Modern English I,3,No,yes,
Troy University,Troy,1,ENG,102,Written Composition II ,ENG,1102,Composition & Modern English I,3,No,yes,
Troy University,Troy,2,ART,100,Art Appreciation,ART,1133,Visual Arts,3,No,yes,
Troy University,Troy,2,ART,203,Art History I ,ART,2250,Survey of Art History I,3,No,no,
Troy University,Troy,2,ART,204,Art History II,ART,2251,Survey of Art History II,3,No,no,
Troy University,Troy,2,DNC,101,Dance Appreciation,Area II Core,,,,,,
Troy University,Troy,2,ENG,251,American Literature I,ENG,2211,American Literature before 1875,3,No,yes,
Troy University,Troy,2,ENG,252,American Literature II,ENG,2212,American Literature after 1875,3,No,yes,
Troy University,Troy,2,ENG,261,English Literature I,ENG,2244,British Literature before 1785,3,No,yes,
Troy University,Troy,2,ENG,262,English Literature II,ENG,2245,British Literature after 1785,3,No,yes,
Troy University,Troy,2,ENG,271,World Literature I,ENG,2205,World Literature before 1660,3,No,yes,
Troy University,Troy,2,ENG,272,World Literature II,ENG,2206,World Literature after 1660,3,No,yes,
Troy University,Troy,2,FRN,101,Introductory French I,FRN,1101,Introductory French I,3,No,yes,
Troy University,Troy,2,FRN,102,Introductory French II,FRN,1102,Introductory French II,3,No,yes,
Troy University,Troy,2,FRN,201,Intermediate French I,FRN,2201,Intermediate French I,3,No,yes,
Troy University,Troy,2,FRN,202,Intermediate French II,FRN,2202,Intermediate French II,3,No,yes,
Troy University,Troy,2,GRN,101,Introductory to German I,GER,1121,Introductory German I,3,No,no,
Troy University,Troy,2,GRN,102,Introductory to German II,GER,1122,Introductory German II,3,No,no,
Troy University,Troy,2,GRN,201,Intermediate German I,GER,2221,Intermediate German I,3,No,no,
Troy University,Troy,2,GRN,202,Intermediate German II,GER,2222,Intermediate German II,3,No,no,
Troy University,Troy,2,HUM,101,Introduction to Humanities,Area II Core,,,,,,
Troy University,Troy,2,HUM,102,Introduction to Humanities,Area II Core,,,,,,
Troy University,Troy,2,HUM,299,PTK Honors Course - Humanities,Area II Core,,,,,,
Troy University,Troy,2,HUM,299-01,PTK Honors Course I - Humanities,Area II Core,,,,,,
Troy University,Troy,2,HUM,299-02,PTK Honors Course II - Humanities,Area II Core,,,,,,
Troy University,Troy,2,HUM,299-03,PTK Honors Course III - Humanities,Area II Core,,,,,,
Troy University,Troy,2,IDS,102,Ethics ,PHI,2204,Ethics and the Modern World,3,No,yes,
Troy University,Troy,2,JPN,101,Introductory Japanese I,JPN,1101,Introductory Japanese I,3,No,no,
Troy University,Troy,2,JPN,102,Introductory Japanese II,JPN,1102,Introductory Japanese II,3,No,no,
Troy University,Troy,2,MUS,101,Music Appreciation,MUS,1131,Music Appreciation,3,No,yes,
Troy University,Troy,2,PHL,106,Introduction to Philosophy,PHI,2203,Introduction to Philosophy,3,No,yes,
Troy University,Troy,2,PHL,206,Ethics and Society,PHI,2204,Ethics and the Modern World,3,No,yes,
Troy University,Troy,2,REL,100,World Religions,REL,2280,World Religions,3,No,yes,
