University,University Short Name,Area,ACCS Coures Prefix,ACCS Course Number,ACCS Course Title,University Equivalent Course Prefix,University Equivalent Course Number,University Course Title,Univeristy Course Hours,Lab,Approved,Notes
University of Alabama,UA,1,ENG,101,Written Composition I ,EN,101,English Composition,3,No,yes,
University of Alabama,UA,1,ENG,102,Written Composition II ,EN,102,English Composition,3,No,yes,
University of Alabama,UA,2,ART,100,Art Appreciation,ARH,151,Introduction to the Visual Arts,3,No,yes,
University of Alabama,UA,2,ART,203,Art History I ,ARH,252,Survey of Art I,3,No,yes,
University of Alabama,UA,2,ART,204,Art History II,ARH,253,Survey of Art II,3,No,yes,
University of Alabama,UA,2,DNC,101,Dance Appreciation,DNCA,114,Dance Appreciation,3,No,no,
University of Alabama,UA,2,ENG,251,American Literature I,EN,209,American Literature I,3,No,yes,
University of Alabama,UA,2,ENG,252,American Literature II,EN,210,American Literature II,3,No,yes,
University of Alabama,UA,2,ENG,261,English Literature I,EN,205,English Literature I,3,No,yes,
University of Alabama,UA,2,ENG,262,English Literature II,EN,206,English Literature II,3,No,yes,
University of Alabama,UA,2,ENG,271,World Literature I,EN,207,World Literature I,3,No,yes,
University of Alabama,UA,2,ENG,272,World Literature II,EN,208,World Literature II,3,No,yes,
University of Alabama,UA,2,FRN,101,Introductory French I,FR,101,Elementary French I,4,No,yes,
University of Alabama,UA,2,FRN,102,Introductory French II,FR,102,Elementary French II,4,No,yes,
University of Alabama,UA,2,FRN,201,Intermediate French I,FR,201,Intermediate French,3,No,yes,
University of Alabama,UA,2,FRN,202,Intermediate French II,FR,202,Intermediate French,3,No,yes,
University of Alabama,UA,2,GRN,101,Introductory to German I,GN,101,Elementary German I,4,No,yes,
University of Alabama,UA,2,GRN,102,Introductory to German II,GN,102,Elementary German II,4,No,yes,
University of Alabama,UA,2,GRN,201,Intermediate German I,GN,201,Intermediate German I,3,No,yes,
University of Alabama,UA,2,GRN,202,Intermediate German II,GN,202,Intermediate German II,3,No,yes,
University of Alabama,UA,2,HUM,101,Introduction to Humanities,Area II Core,,,,,,
University of Alabama,UA,2,HUM,102,Introduction to Humanities,Area II Core,,,,,,
University of Alabama,UA,2,HUM,299,PTK Honors Course - Humanities,Area II Core,,,,,,
University of Alabama,UA,2,HUM,299-01,PTK Honors Course I - Humanities,Area II Core,,,,,,
University of Alabama,UA,2,HUM,299-02,PTK Honors Course II - Humanities,Area II Core,,,,,,
University of Alabama,UA,2,HUM,299-03,PTK Honors Course III - Humanities,Area II Core,,,,,,
University of Alabama,UA,2,IDS,102,Ethics ,PHL,292,Introduction to Ethics,3,No,yes,
University of Alabama,UA,2,JPN,101,Introductory Japanese I,JA,101,Elementary Japanese I,4,No,no,
University of Alabama,UA,2,JPN,102,Introductory Japanese II,JA,102,Elementary Japanese II,4,No,no,
University of Alabama,UA,2,MUS,101,Music Appreciation,MUS,121,Introduction to Listening,3,No,yes,
University of Alabama,UA,2,PHL,106,Introduction to Philosophy,PHL,100,Introduction to Philosophy,3,No,yes,
University of Alabama,UA,2,PHL,206,Ethics and Society,PHL,292,Introduction to Ethics,3,No,yes,
University of Alabama,UA,2,REL,100,World Religions,REL,102,Intro to Religions of the World,3,No,no,
University of Alabama,UA,2,REL,151,Survey of the Old Testament,REL,110,Introduction to the Old Testament,3,No,yes,
University of Alabama,UA,2,REL,152,Survey of the New Testament,REL,112,Introduction to the New Testament,3,No,yes,
University of Alabama,UA,2,SPA,101,Introductory Spanish I,SP,101,Introductory Spanish I,4,No,yes,
University of Alabama,UA,2,SPA,102,Introductory Spanish II,SP,102,Introductory Spanish II,4,No,yes,
University of Alabama,UA,2,SPA,201,Intermediate Spanish I,SP,201,Intermediate Spanish,3,No,yes,
University of Alabama,UA,2,SPA,202,Intermediate Spanish II,SP,202,Intermediate Spanish,3,No,yes,
University of Alabama,UA,2,SPH,106,Fundamentals of Oral Communication,COM,122,Critical Decision Making,3,No,yes,
University of Alabama,UA,2,SPH,107,Fundamentals of Public Speaking,COM,123,Public Speaking,3,No,yes,
University of Alabama,UA,2,THR,120,Theatre Appreciation,TH,114,Introduction to the Theatre,3,No,yes,
University of Alabama,UA,2,THR,126,Introduction to Theatre,TH,114,Introduction to the Theatre,3,No,yes,
University of Alabama,UA,3,AST,220,Introduction to Astronomy,AY,101&102,Introduction to Astronomy/ Intro Astronomy Lab,4,Yes,yes,
University of Alabama,UA,3,BIO,101,Introduction to Biology I,BSC,108,Introductory Biology for Non-Majors I,4,Yes,yes,
University of Alabama,UA,3,BIO,102,Introduction to Biology II,BSC,109,Introductory Biology for Non-Majors II,4,Yes,yes,
University of Alabama,UA,3,BIO,103,Principles of Biology I,BSC,114&115,Principles Biology I/Laboratory Biology I,4,Yes,yes,
University of Alabama,UA,3,BIO,104,Principles of Biology II,BSC,116&117,Principles Biology II/Laboratory Biology II,4,Yes,yes,
University of Alabama,UA,3,CHM,104,Introduction to Chemistry I,CH,104,Introductory Chemistry,4,Yes,yes,
University of Alabama,UA,3,CHM,105,Introduction to Chemistry II,CH,105,Introductory Organic Chemistry,4,Yes,yes,
University of Alabama,UA,3,CHM,111,College Chemistry I,CH,101,General Chemistry,4,Yes,yes,
University of Alabama,UA,3,CHM,112,College Chemistry II,CH,102,General Chemistry,4,Yes,yes,
University of Alabama,UA,3,GEO,101,Principles of Physical Geography I,GY,101,Atmospheric Proc & Patterns,4,Yes,yes,
University of Alabama,UA,3,GEO,102,Principles of Physical Geography II,GY,102,Earth Surface Processes,4,Yes,yes,
University of Alabama,UA,3,GLY,101,Introduction to Geology I,GEO,101,The Dynamic Earth,4,Yes,yes,
University of Alabama,UA,3,GLY,102,Introduction to Geology II,GEO,102,The Earth Through Time,4,Yes,yes,
University of Alabama,UA,3,MTH,110,Finite Mathematics,MATH,110,Finite Mathematics,3,Yes,yes,
University of Alabama,UA,3,MTH,112,Precalculus Algebra,MATH,112,Precalculus Algebra,3,No,yes,
University of Alabama,UA,3,MTH,113,Precalculus Trigonometry,MATH,113,Precalculus Trigonometry,3,No,yes,
University of Alabama,UA,3,MTH,115,Precalculus Algebra & Trigonometry,MATH,115,Precalculus Algebra and Trignometry,4,No,yes,
University of Alabama,UA,3,MTH,120,Calculus and Its Applications,MATH,121,Calculus & Applications,3,No,yes,
University of Alabama,UA,3,MTH,125,Calculus I,MATH,125,Calculus I,4,No,yes,
University of Alabama,UA,3,MTH,126,Calculus II,MATH,126,Calculus II,4,No,yes,
University of Alabama,UA,3,MTH,227,Calculus III,MATH,227,Calculus III,4,No,yes,
University of Alabama,UA,3,MTH,237,Linear Algebra,MATH,237,Introduction to Linear Algebra,4,No,yes,
University of Alabama,UA,3,MTH,238,Applied Differential Equations I,MATH,238,Applied Differential Equations I,3,No,yes,
University of Alabama,UA,3,PHS,111,Physical Science I,Area III Core,,,,,,
University of Alabama,UA,3,PHS,112,Physical Science II,Area III Core,,,,,,
University of Alabama,UA,3,PHY,120,Introduction to Physics,PH,115,Descriptive Physics for Non-Science Majors,4,Yes,yes,
University of Alabama,UA,3,PHY,201,General Physics I,PH,101,General Physics I,4,Yes,yes,
University of Alabama,UA,3,PHY,202,General Physics II,PH,102,General Physics II,4,Yes,yes,
University of Alabama,UA,3,PHY,213,General Physics with Calculus I,PH,105,General Physics w/Cal I,4,Yes,yes,
University of Alabama,UA,3,PHY,214,General Physics with Calculus II,PH,106,General Physics w/Cal II,4,Yes,yes,
University of Alabama,UA,4,ANT,200,Introduction to Anthropology,ANT,100,Anthropology: The Study of Humanity,3,No,yes,
University of Alabama,UA,4,ANT,210,Physical Anthropology,Area IV Core,,,,,,
University of Alabama,UA,4,ANT,220,Cultural Anthropology,ANT,102,Introduction to Cultural Anthropology,3,No,yes,
University of Alabama,UA,4,ANT,226,Culture and Personality,Area IV Core,,,,,,
University of Alabama,UA,4,ANT,230,Introduction to Archaeology,ANT,107,Intro to Archaeology,3,No,no,
University of Alabama,UA,4,ECO,231,Principles of Macroeconomics,EC,111,Principles of Macroeconomics,3,No,yes,
University of Alabama,UA,4,ECO,232,Principles of Microeconomics,EC,110,Principles of Microeconomics,3,No,yes,
University of Alabama,UA,4,GEO,100,World Regional Geography,GY,105,World Regional Geography,3,No,yes,
University of Alabama,UA,4,GEO,201,Principles of Human Geography,GY,110,"People, Places, and Environment",3,No,yes,
