University,University Short Name,Area,ACCS Coures Prefix,ACCS Course Number,ACCS Course Title,University Equivalent Course Prefix,University Equivalent Course Number,University Course Title,Univeristy Course Hours,Lab,Approved,Notes
University of Alabama at Birmingham,UAB,1,ENG,101,Written Composition I ,EH,101,English Composition I,3,No,yes,
University of Alabama at Birmingham,UAB,1,ENG,102,Written Composition II ,EH,102,English Composition II,3,No,yes,
University of Alabama at Birmingham,UAB,2,ART,100,Art Appreciation,ARH,101,The Art Experience,3,No,yes,
University of Alabama at Birmingham,UAB,2,ART,203,Art History I ,Area II Core,,,,,,
University of Alabama at Birmingham,UAB,2,ART,204,Art History II,Area II Core,,,,,,
University of Alabama at Birmingham,UAB,2,DNC,101,Dance Appreciation,Area II Core,,,,,,
University of Alabama at Birmingham,UAB,2,ENG,251,American Literature I,EH,223,American Literature I (1620-1865),3,No,yes,
University of Alabama at Birmingham,UAB,2,ENG,252,American Literature II,EH,224,American Literature II (1865-Present),3,No,yes,
University of Alabama at Birmingham,UAB,2,ENG,261,English Literature I,EH,221,Survey of British and Irish Literature I,3,No,yes,
University of Alabama at Birmingham,UAB,2,ENG,262,English Literature II,EH,222,Survey of British and Irish Literature II,3,No,yes,
University of Alabama at Birmingham,UAB,2,ENG,271,World Literature I,EH,217,World Literature before 1660,3,No,yes,
University of Alabama at Birmingham,UAB,2,ENG,272,World Literature II,EH,218,World Literature Since 1660,3,No,yes,
University of Alabama at Birmingham,UAB,2,FRN,101,Introductory French I,FR,101,Introduction to French I,4,Yes,yes,
University of Alabama at Birmingham,UAB,2,FRN,102,Introductory French II,FR,102,Introduction to French II,4,Yes,yes,
University of Alabama at Birmingham,UAB,2,FRN,201,Intermediate French I,FR,201,Intermediate Studies in French Lang. and Style,3,No,yes,
University of Alabama at Birmingham,UAB,2,FRN,202,Intermediate French II,FR,202,Intermediate Studies in French Lang. and Style,3,No,yes,
University of Alabama at Birmingham,UAB,2,GRN,101,Introductory to German I,GN,101,Introduction to German I,4,Yes,yes,
