University,University Short Name,Area,ACCS Coures Prefix,ACCS Course Number,ACCS Course Title,University Equivalent Course Prefix,University Equivalent Course Number,University Course Title,Univeristy Course Hours,Lab,Approved,Notes
University of Alabama in Huntsville,UAH,1,ENG,101,Written Composition I ,EH,101,College Writing I,3,No,yes,
University of Alabama in Huntsville,UAH,1,ENG,102,Written Composition II ,EH,102,College Writing II,3,No,yes,
University of Alabama in Huntsville,UAH,2,ART,100,Art Appreciation,Area II Core,,,,,,
University of Alabama in Huntsville,UAH,2,ART,203,Art History I ,ARH,100,Art History Survey I: Ancient to Medieval,3,No,yes,
University of Alabama in Huntsville,UAH,2,ART,204,Art History II,ARH,101,Art History Survey II: Renaissance to Modern,3,No,yes,
University of Alabama in Huntsville,UAH,2,DNC,101,Dance Appreciation,Area II Core,,,,,,
University of Alabama in Huntsville,UAH,2,ENG,251,American Literature I,EH,207/208,Readings Literature/Culture I or 2,3,No,no,
University of Alabama in Huntsville,UAH,2,ENG,252,American Literature II,EH,208,Readings Literature/Culture 2,3,No,yes,
University of Alabama in Huntsville,UAH,2,ENG,261,English Literature I,EH,207,Readings Literature/Culture I,3,No,yes,
University of Alabama in Huntsville,UAH,2,ENG,262,English Literature II,EH,208,Readings Literature/Culture 2,3,No,yes,
University of Alabama in Huntsville,UAH,2,ENG,271,World Literature I,EH,207,Readings Literature/Culture I,3,No,yes,
University of Alabama in Huntsville,UAH,2,ENG,272,World Literature II,EH,208,Readings Literature/Culture 2,3,No,yes,
University of Alabama in Huntsville,UAH,2,FRN,101,Introductory French I,WLC,101F,Intro Foreign Lang I: French,3,No,no,
University of Alabama in Huntsville,UAH,2,FRN,102,Introductory French II,WLC,102F,Intro Foreign Lang II: French,3,No,no,
University of Alabama in Huntsville,UAH,2,FRN,201,Intermediate French I,WLC,201F,Interm Foreign Lang: French,3,No,no,
University of Alabama in Huntsville,UAH,2,FRN,202,Intermediate French II,WLC,202F,Interm Foreign Lang II: French,3,No,no,
