University,University Short Name,Area,ACCS Coures Prefix,ACCS Course Number,ACCS Course Title,University Equivalent Course Prefix,University Equivalent Course Number,University Course Title,Univeristy Course Hours,Lab,Approved,Notes
University of Montevallo,UM,1,ENG,101,Written Composition I ,ENG,101,Composition I,3,No,yes,
University of Montevallo,UM,1,ENG,102,Written Composition II ,ENG,102,Composition II,3,No,yes,
University of Montevallo,UM,2,ART,100,Art Appreciation,ART,100,Art Awareness,3,No,yes,
University of Montevallo,UM,2,ART,203,Art History I ,ART,218,History of Art I,3,No,yes,
University of Montevallo,UM,2,ART,204,Art History II,ART,219,History of Art II,3,No,yes,
University of Montevallo,UM,2,DNC,101,Dance Appreciation,Area II Core,,,,,,
University of Montevallo,UM,2,ENG,251,American Literature I,Area II Core,,,,,,
University of Montevallo,UM,2,ENG,252,American Literature II,Area II Core,,,,,,
University of Montevallo,UM,2,ENG,261,English Literature I,Area II Core,,,,,,
University of Montevallo,UM,2,ENG,262,English Literature II,Area II Core,,,,,,
University of Montevallo,UM,2,ENG,271,World Literature I,ENG,231,World Literature I,3,No,yes,
University of Montevallo,UM,2,ENG,272,World Literature II,ENG,232,World Literature II,3,No,yes,
University of Montevallo,UM,2,FRN,101,Introductory French I,FRN,101,Elementary French I,3,No,yes,
University of Montevallo,UM,2,FRN,102,Introductory French II,FRN,102,Elementary French II,3,No,yes,
University of Montevallo,UM,2,FRN,201,Intermediate French I,FRN,201,Intermediate French I,3,No,yes,
University of Montevallo,UM,2,FRN,202,Intermediate French II,FRN,202,Intermediate French II,3,No,yes,
University of Montevallo,UM,2,GRN,101,Introductory to German I,GER,101,Elementary German I,3,No,yes,
University of Montevallo,UM,2,GRN,102,Introductory to German II,GER,102,Elementary German II,3,No,yes,
University of Montevallo,UM,2,GRN,201,Intermediate German I,GER,201,Intermediate German I,3,No,yes,
University of Montevallo,UM,2,GRN,202,Intermediate German II,GER,202,Intermediate German II,3,No,yes,
University of Montevallo,UM,2,HUM,101,Introduction to Humanities,Area II Core,,,,,,
University of Montevallo,UM,2,HUM,102,Introduction to Humanities,Area II Core,,,,,,
University of Montevallo,UM,2,HUM,299,PTK Honors Course - Humanities,Area II Core,,,,,,
University of Montevallo,UM,2,HUM,299-01,PTK Honors Course I - Humanities,Area II Core,,,,,,
University of Montevallo,UM,2,HUM,299-02,PTK Honors Course II - Humanities,Area II Core,,,,,,
University of Montevallo,UM,2,HUM,299-03,PTK Honors Course III - Humanities,Area II Core,,,,,,
University of Montevallo,UM,2,IDS,102,Ethics ,PHIL,220,Ethics,3,No,yes,
University of Montevallo,UM,2,JPN,101,Introductory Japanese I,Area II Core,,,,,,
University of Montevallo,UM,2,JPN,102,Introductory Japanese II,Area II Core,,,,,,
University of Montevallo,UM,2,MUS,101,Music Appreciation,MUS,121,Invitation to Listening,3,No,yes,
University of Montevallo,UM,2,PHL,106,Introduction to Philosophy,PHIL,110,Introduction to Philosophy,3,No,yes,
University of Montevallo,UM,2,PHL,206,Ethics and Society,PHIL,220,Ethics,3,No,yes,
University of Montevallo,UM,2,REL,100,World Religions,REL,110,World Religions,3,No,no,
University of Montevallo,UM,2,REL,151,Survey of the Old Testament,Area II Core,,,,,,
University of Montevallo,UM,2,REL,152,Survey of the New Testament,Area II Core,,,,,,
University of Montevallo,UM,2,SPA,101,Introductory Spanish I,SPN,101,Elementary Spanish I,3,No,yes,
University of Montevallo,UM,2,SPA,102,Introductory Spanish II,SPN,102,Elementary Spanish II,3,No,yes,
University of Montevallo,UM,2,SPA,201,Intermediate Spanish I,SPN,201,Intermediate Spanish I,3,No,yes,
University of Montevallo,UM,2,SPA,202,Intermediate Spanish II,SPN,202,Intermediate Spanish II,3,No,yes,
University of Montevallo,UM,2,SPH,106,Fundamentals of Oral Communication,COMS,101,Foundations in Oral Communications,3,No,yes,
University of Montevallo,UM,2,SPH,107,Fundamentals of Public Speaking,COMS,140,Principles of Public Speaking,3,No,no,
University of Montevallo,UM,2,THR,120,Theatre Appreciation,THEA,120,Introduction to Theatre,3,No,yes,
University of Montevallo,UM,2,THR,126,Introduction to Theatre,THEA,120,Introduction to Theatre,3,No,yes,
University of Montevallo,UM,3,AST,220,Introduction to Astronomy,Area III Core,,,,,,
University of Montevallo,UM,3,BIO,101,Introduction to Biology I,Area III Core,,,,,,
University of Montevallo,UM,3,BIO,102,Introduction to Biology II,BIO,100,Principles of Biology,4,Yes,yes,
University of Montevallo,UM,3,BIO,103,Principles of Biology I,BIO,105,Introductory Biology I,4,Yes,yes,
University of Montevallo,UM,3,BIO,104,Principles of Biology II,BIO,106,Introductory Biology II,4,Yes,yes,
University of Montevallo,UM,3,CHM,104,Introduction to Chemistry I,CHEM,101,Basic Chemistry I,4,Yes,yes,
University of Montevallo,UM,3,CHM,105,Introduction to Chemistry II,CHEM,102,Basic Chemistry II,4,Yes,no,
University of Montevallo,UM,3,CHM,111,College Chemistry I,CHEM,121,General Chemistry I,4,Yes,yes,
University of Montevallo,UM,3,CHM,112,College Chemistry II,CHEM,122,General Chemistry II,4,Yes,yes,
University of Montevallo,UM,3,GEO,101,Principles of Physical Geography I,Area III Core,,,,,,
University of Montevallo,UM,3,GEO,102,Principles of Physical Geography II,Area III Core,,,,,,
University of Montevallo,UM,3,GLY,101,Introduction to Geology I,Area III Core,,,,,,
University of Montevallo,UM,3,GLY,102,Introduction to Geology II,Area III Core,,,,,,
University of Montevallo,UM,3,MTH,110,Finite Mathematics,MATH,147,Finite Matematics,3,No,yes,
University of Montevallo,UM,3,MTH,112,Precalculus Algebra,MATH,144,Precalculus Algebra,3,No,yes,
University of Montevallo,UM,3,MTH,113,Precalculus Trigonometry,MATH,149,Pre-Calculus Trigonometry,3,No,yes,
University of Montevallo,UM,3,MTH,115,Precalculus Algebra & Trigonometry,MATH,150,Pre-Calculus Algebra & Trigonometry,4,No,yes,
University of Montevallo,UM,3,MTH,120,Calculus and Its Applications,Area III Core,,,,,,
University of Montevallo,UM,3,MTH,125,Calculus I,MATH,170,Calculus I,4,No,yes,
University of Montevallo,UM,3,MTH,126,Calculus II,MATH,171,Calculus II,4,No,yes,
University of Montevallo,UM,3,MTH,227,Calculus III,MATH,272,Calculus III,4,No,yes,
University of Montevallo,UM,3,MTH,237,Linear Algebra,Area III Core,,,,,,
University of Montevallo,UM,3,MTH,238,Applied Differential Equations I,Area III Core,,,,,,
University of Montevallo,UM,3,PHS,111,Physical Science I,Area III Core,,,,,,
University of Montevallo,UM,3,PHS,112,Physical Science II,Area III Core,,,,,,
University of Montevallo,UM,3,PHY,120,Introduction to Physics,PHYS,100,Introductory Physics,4,Yes,yes,
University of Montevallo,UM,3,PHY,201,General Physics I,PHYS,201,College Physics I,4,Yes,yes,
University of Montevallo,UM,3,PHY,202,General Physics II,PHYS,202,College Physics II,4,Yes,yes,
University of Montevallo,UM,3,PHY,213,General Physics with Calculus I,PHYS,241,University Physics I,4,Yes,yes,
University of Montevallo,UM,3,PHY,214,General Physics with Calculus II,PHYS,242,University Physics II,4,Yes,yes,
University of Montevallo,UM,4,ANT,200,Introduction to Anthropology,ANTH,210,Introduction to Anthropology,3,No,no,
University of Montevallo,UM,4,ANT,210,Physical Anthropology,Area IV Core,,,,,,
University of Montevallo,UM,4,ANT,220,Cultural Anthropology,Area IV Core,,,,,,
University of Montevallo,UM,4,ANT,226,Culture and Personality,Area IV Core,,,,,,
University of Montevallo,UM,4,ANT,230,Introduction to Archaeology,Area IV Core,,,,,,
University of Montevallo,UM,4,ECO,231,Principles of Macroeconomics,EC,231,Principles of Macroeconmics,3,No,yes,
University of Montevallo,UM,4,ECO,232,Principles of Microeconomics,EC,232,Introduction to Microeconomics,3,No,yes,
University of Montevallo,UM,4,GEO,100,World Regional Geography,GEOG,231,World Regional Geography,3,No,no,
University of Montevallo,UM,4,GEO,201,Principles of Human Geography,Area IV Core,,,,,,
University of Montevallo,UM,4,HIS,101,History of Western Civilization I,Area IV Core,,,,,,
University of Montevallo,UM,4,HIS,102,History of Western Civilization II,Area IV Core,,,,,,
