University,University Short Name,Area,ACCS Coures Prefix,ACCS Course Number,ACCS Course Title,University Equivalent Course Prefix,University Equivalent Course Number,University Course Title,Univeristy Course Hours,Lab,Approved,Notes
University of North Alabama,UNA,1,ENG,101,Written Composition I ,EN,111,First-Year Composition,3,No,yes,
University of North Alabama,UNA,1,ENG,102,Written Composition II ,EN,112,First-Year Composition,3,No,yes,
University of North Alabama,UNA,2,ART,100,Art Appreciation,AR,170,Art Appreciation,3,No,yes,
University of North Alabama,UNA,2,ART,203,Art History I ,AR,281,"Art History, Survey I",3,No,yes,
University of North Alabama,UNA,2,ART,204,Art History II,AR,282,"Art History, Survey II",3,No,yes,
University of North Alabama,UNA,2,DNC,101,Dance Appreciation,Area II Core,,,,,,
University of North Alabama,UNA,2,ENG,251,American Literature I,EN,221,American Literature through Whitman,3,No,yes,
University of North Alabama,UNA,2,ENG,252,American Literature II,EN,222,American Literature from Whitman to Present,3,No,yes,
University of North Alabama,UNA,2,ENG,261,English Literature I,EN,211,Survey of English Literature,3,No,yes,
University of North Alabama,UNA,2,ENG,262,English Literature II,EN,212,Survey of English Literature,3,No,yes,
University of North Alabama,UNA,2,ENG,271,World Literature I,EN,231,Literature of the World I,3,No,yes,
University of North Alabama,UNA,2,ENG,272,World Literature II,EN,232,Literature of the World II,3,No,yes,
University of North Alabama,UNA,2,FRN,101,Introductory French I,FR,101,Introductory French,3,Yes,yes,
University of North Alabama,UNA,2,FRN,102,Introductory French II,FR,102,Introductory French,3,Yes,yes,
University of North Alabama,UNA,2,FRN,201,Intermediate French I,FR,201,Intermediate French,3,No,yes,
University of North Alabama,UNA,2,FRN,202,Intermediate French II,FR,202,Intermediate French,3,No,yes,
University of North Alabama,UNA,2,GRN,101,Introductory to German I,GR,101,Introductory German,3,Yes,yes,
University of North Alabama,UNA,2,GRN,102,Introductory to German II,GR,102,Introductory German,3,Yes,yes,
University of North Alabama,UNA,2,GRN,201,Intermediate German I,GR,201,Intermediate German,3,No,yes,
University of North Alabama,UNA,2,GRN,202,Intermediate German II,GR,202,Intermediate German,3,No,yes,
University of North Alabama,UNA,2,HUM,101,Introduction to Humanities,Area II Core,,,,,,
University of North Alabama,UNA,2,HUM,102,Introduction to Humanities,Area II Core,,,,,,
University of North Alabama,UNA,2,HUM,299,PTK Honors Course - Humanities,Area II Core,,,,,,
University of North Alabama,UNA,2,HUM,299-01,PTK Honors Course I - Humanities,Area II Core,,,,,,
University of North Alabama,UNA,2,HUM,299-02,PTK Honors Course II - Humanities,Area II Core,,,,,,
University of North Alabama,UNA,2,HUM,299-03,PTK Honors Course III - Humanities,Area II Core,,,,,,
University of North Alabama,UNA,2,IDS,102,Ethics ,PHL,205,Ethics,3,No,yes,
University of North Alabama,UNA,2,JPN,101,Introductory Japanese I,JP,101,Elementary Japanese I,3,No,no,
University of North Alabama,UNA,2,JPN,102,Introductory Japanese II,JP,102,Elementary Japanese II,3,No,no,
University of North Alabama,UNA,2,MUS,101,Music Appreciation,MU,222,Music Appreciation,3,No,yes,
University of North Alabama,UNA,2,PHL,106,Introduction to Philosophy,PHL,201,Introduction to Philosophy,3,No,yes,
University of North Alabama,UNA,2,PHL,206,Ethics and Society,PHL,202, Logic,3,No,no,
University of North Alabama,UNA,2,REL,100,World Religions,RE,111,World Religions,3,No,yes,
University of North Alabama,UNA,2,REL,151,Survey of the Old Testament,RE,221,Old Testament Introduction,3,No,yes,
University of North Alabama,UNA,2,REL,152,Survey of the New Testament,RE,231,New Testament Introduction,3,No,yes,
University of North Alabama,UNA,2,SPA,101,Introductory Spanish I,SP,101,Introductory Spanish,3,Yes,yes,
University of North Alabama,UNA,2,SPA,102,Introductory Spanish II,SP,102,Introductory Spanish,3,Yes,yes,
University of North Alabama,UNA,2,SPA,201,Intermediate Spanish I,SP,201,Intermediate Spanish,3,No,yes,
University of North Alabama,UNA,2,SPA,202,Intermediate Spanish II,SP,202,Intermediate Spanish,3,No,yes,
University of North Alabama,UNA,2,SPH,106,Fundamentals of Oral Communication,COM,201,Fundamentals of Speech,3,No,yes,
University of North Alabama,UNA,2,SPH,107,Fundamentals of Public Speaking,COM,201,Fundamentals of Speech,3,No,yes,
University of North Alabama,UNA,2,THR,120,Theatre Appreciation,CAT,210,Theatre Appreciation,3,No,yes,
University of North Alabama,UNA,2,THR,126,Introduction to Theatre,CAT,210,Theatre Appreciation,3,No,yes,
University of North Alabama,UNA,3,AST,220,Introduction to Astronomy,PH,125,Descriptive Astronomy,4,Yes,yes,
University of North Alabama,UNA,3,BIO,101,Introduction to Biology I,BI,101,Introductory Biology I,4,Yes,yes,
University of North Alabama,UNA,3,BIO,102,Introduction to Biology II,BI,102,Introductory Biology II,4,Yes,yes,
University of North Alabama,UNA,3,BIO,103,Principles of Biology I,BI,111,Principles of Biology I,4,Yes,yes,
University of North Alabama,UNA,3,BIO,104,Principles of Biology II,BI,112,Principles of Biology II,4,Yes,yes,
University of North Alabama,UNA,3,CHM,104,Introduction to Chemistry I,CH,101&101L,Introductory Chemistry I w/Lab,4,Yes,yes,
University of North Alabama,UNA,3,CHM,105,Introduction to Chemistry II,CH,102&102L,Introductory to Organic and Biochemistry w/Lab,4,Yes,yes,
