University,University Short Name,Area,ACCS Coures Prefix,ACCS Course Number,ACCS Course Title,University Equivalent Course Prefix,University Equivalent Course Number,University Course Title,Univeristy Course Hours,Lab,Approved,Notes
University of South Alabama,USA,1,ENG,101,Written Composition I ,EH,101,Composition I,3,No,yes,
University of South Alabama,USA,1,ENG,102,Written Composition II ,EH,102,Composition II,3,No,yes,
University of South Alabama,USA,2,ART,100,Art Appreciation,ARS,101,Art Appreciation,3,No,yes,
University of South Alabama,USA,2,ART,203,Art History I ,ARH,103,Art History I,3,No,yes,
University of South Alabama,USA,2,ART,204,Art History II,ARH,123,Art History II,3,No,yes,
University of South Alabama,USA,2,DNC,101,Dance Appreciation,Area II Core,,,,,,
University of South Alabama,USA,2,ENG,251,American Literature I,EH,225,Survey of American Literature I,3,No,yes,
University of South Alabama,USA,2,ENG,252,American Literature II,EH,226,Survey of American Literature II,3,No,yes,
University of South Alabama,USA,2,ENG,261,English Literature I,EH,215,Survey of British Literature I,3,No,yes,
University of South Alabama,USA,2,ENG,262,English Literature II,EH,216,Survey of British Literature II,3,No,yes,
University of South Alabama,USA,2,ENG,271,World Literature I,EH,235,Survey of World Literature I,3,No,yes,
University of South Alabama,USA,2,ENG,272,World Literature II,EH,236,Survey of World Literature II,3,No,yes,
University of South Alabama,USA,2,FRN,101,Introductory French I,LG,111,Introductory French I,3,No,yes,
University of South Alabama,USA,2,FRN,102,Introductory French II,LG,112,Introductory French II,3,No,yes,
University of South Alabama,USA,2,FRN,201,Intermediate French I,LG,211,Intermediate French I,3,No,yes,
University of South Alabama,USA,2,FRN,202,Intermediate French II,LG,212,Intermediate French II,3,No,yes,
University of South Alabama,USA,2,GRN,101,Introductory to German I,LG,151,Introductory German I,3,No,yes,
University of South Alabama,USA,2,GRN,102,Introductory to German II,LG,152,Introductory German II,3,No,yes,
University of South Alabama,USA,2,GRN,201,Intermediate German I,LG,251,Intermediate German I,3,No,yes,
University of South Alabama,USA,2,GRN,202,Intermediate German II,LG,252,Intermediate German II,3,No,yes,
University of South Alabama,USA,2,HUM,101,Introduction to Humanities,Area II Core,,,,,,
University of South Alabama,USA,2,HUM,102,Introduction to Humanities,Area II Core,,,,,,
University of South Alabama,USA,2,HUM,299,PTK Honors Course - Humanities,Area II Core,,,,,,
University of South Alabama,USA,2,HUM,299-01,PTK Honors Course I - Humanities,Area II Core,,,,,,
University of South Alabama,USA,2,HUM,299-02,PTK Honors Course II - Humanities,Area II Core,,,,,,
University of South Alabama,USA,2,HUM,299-03,PTK Honors Course III - Humanities,Area II Core,,,,,,
University of South Alabama,USA,2,IDS,102,Ethics ,PHL,131,Introduction to Ethics,3,No,yes,
University of South Alabama,USA,2,JPN,101,Introductory Japanese I,LGS,101,Introductory Japanese I,3,No,yes,
University of South Alabama,USA,2,JPN,102,Introductory Japanese II,LGS,102,Introductory Japanese II,3,No,yes,
University of South Alabama,USA,2,MUS,101,Music Appreciation,MUL,101,Introduction to Music,3,No,yes,
University of South Alabama,USA,2,PHL,106,Introduction to Philosophy,PHL,110,Introduction to Philosophy,3,No,yes,
University of South Alabama,USA,2,PHL,206,Ethics and Society,PHL,131,Introduction to Ethics,3,No,yes,
University of South Alabama,USA,2,REL,100,World Religions,REL,100,Introduction to the Study of Religion,3,No,yes,
University of South Alabama,USA,2,REL,151,Survey of the Old Testament,REL,200,Survey of the Old Testament/Hebrew Bible,3,No,yes,
