University,University Short Name,Area,ACCS Coures Prefix,ACCS Course Number,ACCS Course Title,University Equivalent Course Prefix,University Equivalent Course Number,University Course Title,Univeristy Course Hours,Lab,Approved,Notes
University of West Alabama,UWA,1,ENG,101,Written Composition I ,EH,101,Written English I,3,No,yes,
University of West Alabama,UWA,1,ENG,102,Written Composition II ,EH,102,Written English II,3,No,yes,
University of West Alabama,UWA,2,ART,100,Art Appreciation,AT,100,Introduction to Art,3,No,yes,
University of West Alabama,UWA,2,ART,203,Art History I ,Area II Core,,,,,,
University of West Alabama,UWA,2,ART,204,Art History II,Area II Core,,,,,,
University of West Alabama,UWA,2,DNC,101,Dance Appreciation,Area II Core,,,,,,
University of West Alabama,UWA,2,ENG,251,American Literature I,EH,231,American Literature I,3,No,yes,
University of West Alabama,UWA,2,ENG,252,American Literature II,EH,232,American Literature II,3,No,yes,
University of West Alabama,UWA,2,ENG,261,English Literature I,EH,221,British Literature I,3,No,yes,
University of West Alabama,UWA,2,ENG,262,English Literature II,EH,222,British Literature II,3,No,yes,
University of West Alabama,UWA,2,ENG,271,World Literature I,EH,221,British Literature I,3,No,yes,
University of West Alabama,UWA,2,ENG,272,World Literature II,EH,222,British Literature II,3,No,yes,
University of West Alabama,UWA,2,FRN,101,Introductory French I,FR,101,Introductory French I,4,Yes,yes,
University of West Alabama,UWA,2,FRN,102,Introductory French II,FR,102,Introductory French II,4,Yes,yes,
University of West Alabama,UWA,2,FRN,201,Intermediate French I,FR,201,Intermediate French I,4,Yes,yes,
University of West Alabama,UWA,2,FRN,202,Intermediate French II,FR,202,Intermediate French II,4,No,yes,
University of West Alabama,UWA,2,GRN,101,Introductory to German I,Area II Core,,,,,,
University of West Alabama,UWA,2,GRN,102,Introductory to German II,Area II Core,,,,,,
University of West Alabama,UWA,2,GRN,201,Intermediate German I,Area II Core,,,,,,
University of West Alabama,UWA,2,GRN,202,Intermediate German II,Area II Core,,,,,,
University of West Alabama,UWA,2,HUM,101,Introduction to Humanities,Area II Core,,,,,,
University of West Alabama,UWA,2,HUM,102,Introduction to Humanities,Area II Core,,,,,,
University of West Alabama,UWA,2,HUM,299,PTK Honors Course - Humanities,Area II Core,,,,,,
University of West Alabama,UWA,2,HUM,299-01,PTK Honors Course I - Humanities,Area II Core,,,,,,
University of West Alabama,UWA,2,HUM,299-02,PTK Honors Course II - Humanities,Area II Core,,,,,,
University of West Alabama,UWA,2,HUM,299-03,PTK Honors Course III - Humanities,Area II Core,,,,,,
University of West Alabama,UWA,2,IDS,102,Ethics ,Area II Core,,,,,,
University of West Alabama,UWA,2,JPN,101,Introductory Japanese I,JP,101,Introduction to Japanese I,4,No,yes,
University of West Alabama,UWA,2,JPN,102,Introductory Japanese II,JP,102,Introduction to Japanese II,4,No,yes,
University of West Alabama,UWA,2,MUS,101,Music Appreciation,MU,100,Introduction to Music,3,No,yes,
University of West Alabama,UWA,2,PHL,106,Introduction to Philosophy,PL,100,Introduction to Philosophy: Human and Society,3,No,yes,
University of West Alabama,UWA,2,PHL,206,Ethics and Society,Area II Core,,,,,,
University of West Alabama,UWA,2,REL,100,World Religions,Area II Core,,,,,,
University of West Alabama,UWA,2,REL,151,Survey of the Old Testament,Area II Core,,,,,,
University of West Alabama,UWA,2,REL,152,Survey of the New Testament,Area II Core,,,,,,
University of West Alabama,UWA,2,SPA,101,Introductory Spanish I,SP,101,Introductory Spanish I,4,Yes,yes,
